,supercategory,id,name,take
0,person,1,person,1
1,vehicle,2,bicycle,1
2,vehicle,3,car,1
3,vehicle,4,motorcycle,0
4,vehicle,5,airplane,1
5,vehicle,6,bus,0
6,vehicle,7,train,1
7,vehicle,8,truck,1
8,vehicle,9,boat,1
9,outdoor,10,traffic_light,1
10,outdoor,11,fire_hydrant,1
11,outdoor,13,stop_sign,1
12,outdoor,14,parking_meter,1
13,outdoor,15,bench,1
14,animal,16,bird,1
15,animal,17,cat,0
16,animal,18,dog,1
17,animal,19,horse,0
18,animal,20,sheep,0
19,animal,21,cow,1
20,animal,22,elephant,1
21,animal,23,bear,1
22,animal,24,zebra,1
23,animal,25,giraffe,1
24,accessory,27,backpack,0
25,accessory,28,umbrella,1
26,accessory,31,handbag,1
27,accessory,32,tie,0
28,accessory,33,suitcase,1
29,sports,34,frisbee,1
30,sports,35,skis,0
31,sports,36,snowboard,1
32,sports,37,sports_ball,0
33,sports,38,kite,1
34,sports,39,baseball_bat,1
35,sports,40,baseball_glove,1
36,sports,41,skateboard,1
37,sports,42,surfboard,0
38,sports,43,tennis_racket,0
39,kitchen,44,bottle,1
40,kitchen,46,wine_glass,1
41,kitchen,47,cup,0
42,kitchen,48,fork,1
43,kitchen,49,knife,1
44,kitchen,50,spoon,1
45,kitchen,51,bowl,1
46,food,52,banana,0
47,food,53,apple,1
48,food,54,sandwich,1
49,food,55,orange,1
50,food,56,broccoli,1
51,food,57,carrot,1
52,food,58,hot_dog,0
53,food,59,pizza,0
54,food,60,donut,0
55,food,61,cake,1
56,furniture,62,chair,1
57,furniture,63,couch,1
58,furniture,64,potted_plant,1
59,furniture,65,bed,1
60,furniture,67,dining_table,1
61,furniture,70,toilet,1
62,electronic,72,tv,1
63,electronic,73,laptop,1
64,electronic,74,mouse,1
65,electronic,75,remote,0
66,electronic,76,keyboard,1
67,electronic,77,cell_phone,1
68,appliance,78,microwave,1
69,appliance,79,oven,1
70,appliance,80,toaster,0
71,appliance,81,sink,1
72,appliance,82,refrigerator,1
73,indoor,84,book,1
74,indoor,85,clock,0
75,indoor,86,vase,1
76,indoor,87,scissors,1
77,indoor,88,teddy_bear,0
78,indoor,89,hair_drier,1
79,indoor,90,toothbrush,1
